,STT,Mã học phần,Tên học phần,Thời lượng,Số tín chỉ,TC học phí,Viện Quản lý,Học phần điều kiện,Tên tiếng anh,Trọng số,Mục tiêu,Nội dung
883,883,CH4052,CN khai thác & chế biến than,2(2-1-0-4),2,3,KCNHH, ,Coal Mining and Processing,0.7,,
884,884,CH4060,Hóa học polyme,3(3-0-2-6),3,6,KCNHH, ,Polymer Chemistry,0.7,,
885,885,CH4061,Hóa học dầu mỏ,2(2-0-0-4),2,2,KCNHH, ,Petroleum Chemistry,0.75,,
886,886,CH4062,Hóa lý polyme,3(3-1-0-6),3,4,KCNHH, ,Polymer Physical Chemistry,0.7,,
887,887,CH4063,Động học xúc tác,2(2-0-0-4),2,2,KCNHH, ,Kinetics and Catalysis,0.75,,
888,888,CH4064,Kỹ thuật sản xuất chất dẻo,3(3-1-0-6),3,4,KCNHH,"CH4060 ,CH4062",Plastic Processing and Manufacturing,0.7,,
889,889,CH4065,Thiết bị phản ứng,2(2-0-0-4),2,2,KCNHH, ,Reactors,0.75,,
890,890,CH4066,Hoá học và công nghệ vật liệu polyme compozit,3(3-0-1-6),3,4.5,KCNHH,"CH4060, CH4062",Polymer and Composite Engineering,0.75,,
891,891,CH4067,Hoá học xenluloza - giấy,2(2-1-0-4),2,3,KCNHH,"CH4060, CH4062",Chemistry of Cellulose and Paper,0.75,,
892,892,CH4068,Kỹ thuật sản xuất chất tạo màng và sơn,3(3-0-2-6),3,6,KCNHH,"CH4060 ,CH4062",Paints Engineering and Technology,0.75,,
893,893,CH4069,Hoá học polyme phân huỷ sinh học,2(2-0-0-4),2,2,KCNHH,"CH4060, CH4062",Biodegradable Polymer Chemistry,0.75,,
894,894,CH4070,Kỹ thuật gia công cao su,3(3-0-2-6),3,6,KCNHH,"CH4060, CH4062",Rubber Processing,0.75,,
895,895,CH4071,Hoá học polyme y sinh,2(2-0-0-4),2,2,KCNHH,"CH4060, CH4062",Biomedical Polymer Chemistry,0.75,,
896,896,CH4072,Kỹ thuật gia công chất dẻo,3(3-1-0-6),3,4,KCNHH,"CH4060, CH4062",Plastic Processing,0.75,,
897,897,CH4073,Hoá học polyme silicon,2(2-0-0-4),2,2,KCNHH,"CH4060, CH4062",Silicon Chemistry,0.75,,
898,898,CH4074,Môi trường trong gia công vật liệu polyme,2(2-0-0-4),2,2,KCNHH,"(CH4090=,CH4092=)/(CH4060,CH4062)",Polymer Materials and Environment,0.75,"Cung cấp các khái niệm cơ bản về các vấn đề môi trường nảy sinh trong quá
trình gia công, chế biến chất dẻo và các hướng dự phòng, khắc phục.","Các tác nhân ảnh hưởng đến môi trường trong công nghiệp gia công vật liệu
polyme và compozit. Phương pháp xử lý phế thải và các công  
nghệ cụ thể."
899,899,CH4075,Công nghệ hoá học polyme blend,2(2-0-0-4),2,2,KCNHH,"CH3000, CH3010, CH3020, CH3030",Polymer Blend Engineering,0.75,,
900,900,CH4076,Máy và thiết bị gia công vật liệu polyme,2(2-0-0-4),2,2,KCNHH,"CH4060, CH4062, CH4070= ,CH4072=",Equipment for Polymer Processing,0.75,,
901,901,CH4077,Công nghệ hoá học vật liệu polyme nanocompozit,2(2-0-0-4),2,2,KCNHH,"CH4060, CH4062, CH4066",Nanopolymer Composite Engineering,0.75,,
902,902,CH4078,Đồ án môn học chuyên ngành,2(1-2-0-6),2,4,KCNHH, ,Senior Project,0.75,,
903,903,CH4080,Thực tập nhận thức,3(0-0-6-12),3,6,KCNHH, ,Introductory Practicum,0.75,,
904,904,CH4081,Công nghệ vật liệu cao su,2(2-1-0-4),2,3,KCNHH, ,Rubber Technology,0.7,,
905,905,CH4082,Thực tập kỹ thuật,2(0-0-4-8),2,4,KCNHH, ,Engineering Practicum,0.75,,
906,906,CH4083,TN CN vật liệu Polyme,2(0-0-4-4),2,6,KCNHH,"MSE3015,MSE3019",Polymer Materials Lab,0.7,,
907,907,CH4084,Đồ án chuyên ngành,2(0-0-4-4),2,4,KCNHH,"CH3220,CH3060,CH3412",Senior Project,0.7,"Trang bị cho sinh viên kiến thức để xây dựng dây chuyền sản xuất một loại
polyme trong công nghiệp.","Cung cấp các hiểu biết về hóa học và công nghệ sản xuất một loại polyme cho
trước."
908,908,CH4085,Hóa học chất tạo màng và sơn,2(2-1-0-4),2,3,KCNHH, ,Chemistry of Binder and Paint,0.7,,
909,909,CH4086,Công nghệ chất dẻo,2(2-1-0-4),2,3,KCNHH, ,Plastics Processing,0.7,,
910,910,CH4087,Công nghệ vật liệu polyme-compozit,2(2-1-0-4),2,3,KCNHH, ,Polymer Composite materials Technology,0.7,,
911,911,CH4088,Thí nghiệm chuyên ngành Polyme-Giấy,2(0-0-4-4),2,6,KCNHH, ,Polymer-Cellulose Materials Laboratory,0.7,,
912,912,CH4089,Đồ án chuyên ngành Polyme - Giấy,2(0-0-4-4),2,4,KCNHH, ,Polymer-Cellulose Course Project,0.7,,
913,913,CH4090,Hóa lý polyme cơ sở,2(2-0-0-4),2,2,KCNHH,"CH3220,CH3060",Basic Physical Chemistry of Polymers,0.7,"Cung cấp các kiến thức cơ bản về trạng thái vật lý của polyme, các tính chất
vật lý cơ bản nhằm phục vụ việc gia công, chế tạo và ứng dụng  
vật liệu polyme.","Các khái niệm về các trạng thái vật lý cơ bản của polyme vô định hình, tinh
thể và dung dịch polyme, các tính chất sử dụng chủ yếu của vật liệu polyme."
914,914,CH4091,Hóa học chất tạo màng,3(2-1-0-6),3,3,KCNHH, ,Membrane Chemistry,0.7,"Sau khi học xong, sinh viên sẽ nắm được bản chất của các chất tạo màng sử dụng
để chế tạo sơn, hiểu rõ về bản chất hóa học của việc tạo màng phủ và có thể
tính toán được thành phần , quá trình đóng rắn màng phủ.","Khái niệm chung về hệ chất tạo màng. Phân loại polyme và phản ứng tổng hợp.
Quá trình hình thành màng phủ từ hệ chất tạo màng. Polyeste. Phenolic.
Silicon. Epoxy. Polyuretan. Hợp chất thiên nhiên."
915,915,CH4092,Hóa học polyme cơ sở,3(3-0-1-6),3,4.5,KCNHH,"CH3220,CH3060",Basic Polymer Chemistry,0.7,"Cung cấp các kiến thức cơ bản về các phản ứng tạo thành polyme nhằm phục vụ
cho việc nghiên cứu tổng hợp, chế tạo và biến tính polyme.","Những khái niệm cơ bản trong hoá học polyme, các phương pháp tổng hợp: trùng
hợp gốc, trùng hợp ion; trùng ngưng và biến đổi hóa học polyme."
916,916,CH4093,Hóa polyme,3(3-1-0-6),3,4,KCNHH,CH3228/CH3202,Polymer Chemistry,0.7,Trang bị cho sinh viên các kiến thức cơ bản về hóa học và hóa lý polyme.,"Những khái niệm cơ bản về hóa học và hóa lý polyme, các phương pháp chính tổng
hợp polyme, trạng thái vật lý và trạng thái pha của polyme, phản ứng khâu
mạch, phân hủy polyme và giới thiệu tính chất, ứng dụng của một số polyme tiêu
biểu"
917,917,CH4094,Hóa học các chất tạo màng và sơn,2(2-0-0-4),2,2,KCNHH,"CH3220,CH3060",Membrane and Paint Chemistry,0.7,"Cung cấp các kiến thức cơ bản về các phản ứng và biến đổi hóa học của các chất
tạo mạng nhằm phục vụ cho môn học kỹ thuật sơn và chất tạo màng sau này.","Giới thiệu chung về sơn, các chất tạo màng chủ yếu trong công nghiệp sơn, bột
mầu, dung môi và chất phụ gia. Các phương pháp chuẩn bị bề mặt vật thể cần sơn
và các phương pháp sơn. Các phương pháp chủ yếu kiểm tra tính chất sơn."
918,918,CH4095,Kỹ thuật xử lý bề mặt vật liệu,3(3-0-0-6),3,3,KCNHH, ,Materials Surface Engineering,0.7,"Sinh viên sẽ nắm được các phương pháp xử lý bề mặt các vật liệu thông dụng
trong cuộc sống hàng ngày như: sắt thép, chất dẻo, gỗ…trước khi các vật liệu
này được sơn phủ.","Giới thiệu. Xử lý bề mặt thép. Các phương pháp cơ học. Làm sạch bằng phun mài.
Làm sạch bằng lửa. Xử lý bằng axit. Làm sạch bằng kiềm. Xử lý bề mặt nhôm. Xử
lý bề mặt thép galvanic. Xử lý bề mặt các vật liệu khác."
919,919,CH4096,Công nghệ cao su ,2(2-0-0-4),2,2,KCNHH,"CH3220,CH3060,CH3412",Rubber Technology,0.7,"Cung cấp các kiến thức cơ bản về các loại cao su và phụ gia, các vấn đề lưu
hóa cao su nhằm phục vụ môn học kỹ thuật gia công cao su sau này.","Giới thiệu một số loại cao su thông dụng và chuyên dụng, các phương pháp gia
công và lưu hóa vật liệu cao su, các phương pháp kiểm tra tính chất cơ bản."
920,920,CH4097,"KT gia công vật liệu chất dẻo, cao su",3(3-0-0-6),3,3,KCNHH,CH3500,Plastics and Rubber Materials Processing,0.7,"Giúp sinh viên nắm được các kỹ thuật gia công các loại nhựa nhiệt dẻo và cao
su phổ biến hiện nay.","Giới thiệu chung về các phương pháp gia công nhựa nhiệt dẻo. Phương pháp ép
phun, ép đùn, thổi màng, kéo sợi,… Các phương pháp gia công cao su. Các yếu tố
công nghệ ảnh hưởng đến chất lượng sản phẩm chất dẻo và cao su."
921,921,CH4098,Công nghệ chất dẻo,2(2-0-0-4),2,2,KCNHH,"CH3220,CH3060,CH3412",Plastic Technology,0.7,"Cung cấp các kiến thức cơ bản về chất dẻo, các phương pháp gia công chủ yếu
nhằm phục vụ môn học kỹ thuật gia công chất dẻo sau này.","Nguyên liệu và các phương pháp sản xuất polyme nói chung; các phương pháp gia
công và thiết bị gia công nhựa nhiệt dẻo."
922,922,CH4099,KT gia công vật liệu polyme & composit,3(3-0-0-6),3,3,KCNHH,CH3500,Polymer and Composite Materials Processing,0.7,"Sinh viên sẽ nắm được các khái niệm về vật liệu polyme compozit và các phương
pháp gia công vật liệu polyme compozit.","Giới thiệu chung về vật liệu compozit. Các phương pháp chế tạo vật liệu polyme
compozit: lăn ép bằng tay, ép nóng trong khuôn, hút nhựa vào khuôn,... Các yếu
tố công nghệ ảnh hưởng đến chất lượng sản phẩm compozit."
923,923,CH4100,Công nghệ vật liệu polyme - compozit,2(2-0-0-4),2,2,KCNHH,"CH3220,CH3060,CH3412",Polymer and Composite Materials,0.7,"Cung cấp các khái niệm về vật liệu polyme-compozit, các chất nền và cốt tăng
cường chủ yếu nhằm phục vụ cho nghiên cứu và học tập  
sâu hơn về vật liệu polyme compozit.","Các kiến thức về thành phần cơ bản của vật liệu polyme compozit: nhựa nền, một
số loại sợi gia cường, phụ gia và chất độn, khái niệm về một số phép đo tính
chất cơ lý của vật liệu, một số phương pháp gia công hiện đại cho vật liệu
polyme compozit."
924,924,CH4101,Thiết bị gia công nhựa và cao su,3(3-0-0-6),3,3,KCNHH,CH3500,Plastic and Rubber Processing Equipments,0.7,"Sinh viên sẽ năm được nguyên lý hoạt động và cấu tạo của các thiết bị được sử
dụng trong gia công nhựa và cao su.","* Giới thiệu chung. Các thiết bị cán hai trục, ba trục. Các thiết bị trộn kín. Các thiết bị lưu hóa. Các hệ thống ép phun, ép đùn. Các thiết bị kiểm tra và kiểm soát chất lượng sản phẩm. 
  * Giới thiệu chung. Các loại máy ép phun, ép đùn. Các hệ thống thổi chai, thổi màng. Các hệ thống kéo sợi. Các hệ thống tạo hình nhiệt. Các hệ thống cán,…"
925,925,CH4102,Công nghệ cao su và compozit,2(2-0-1-4),2,3,KCNHH,"CH3220,CH3061",Polymer composite rubber and technology,0.7,,
926,926,CH4103,Vật liệu gia cường trong Polyme-Composit,3(3-0-0-6),3,3,KCNHH,CH3500,Polymer and Composite Reinforced Materials,0.7,,
927,927,CH4120,Điện hoá lý thuyết,4(4-1-1-8),4,6.5,KCNHH,"CH3030, CH4128=, CH4124=",Theoretical Electrochemistry,0.7,,
928,928,CH4121,Vật liệu học trong điện hoá,2(2-0-0.5-4),2,3,KCNHH,"CH4120, CH4124",Electrochemical Materials,0.7,,
929,929,CH4122,Công nghệ mạ,3(3-1-0.5-6),3,5,KCNHH,"CH4120,CH4124",Electroplating,0.7,,
930,930,CH4123,Gia công xử lý bề mặt bằng phương pháp hoá học và điện hoá,2(2-0-0.5-4),2,3,KCNHH,"CH4120,CH4124",Surface Treatment Methods,0.7,,
931,931,CH4124,Điện hoá bề mặt,2(2-1-0.5-4),2,4,KCNHH, ,Surface Electrochemistry,0.75,,
932,932,CH4125,Điện hoá và xử lý môi trường,2(2-0-0.5-4),2,3,KCNHH,CH4120,Electrochemical Methods for Waste Water Treatment,0.7,,
933,933,CH4126,Thiết bị và phương pháp thiết kế trong điện hoá,4(4-1-0-8),4,5,KCNHH,CH4120,Electrochemical Engineering,0.75,,
934,934,CH4127,Kỹ thuật đo điện hoá,2(2-1-0.5-4),2,4,KCNHH,"CH3010, CH4120",Electrochemical measurement technique,0.7,,
935,935,CH4128,Ăn mòn và bảo vệ kim loại,3(3-0-1-6),3,4.5,KCNHH,CH3060,Corrosion and Protection of Metals,0.6,"Sinh viên có được các kiến thức cơ bản về ăn mòn kim loại trong các môi
trường, hiểu và có khả năng áp dụng các biện pháp bảo vệ kim loại trong các
môi trường tự nhiên và công nghiệp.","Các khái niệm cơ bản về ăn mòn kim loại, các dạng ăn mòn:

  * Ăn mòn hoá học: Khái niệm, điều kiện nhiệt động, sự phát triển màng ôxyt kim loại ở nhiệt độ cao, các yếu tố ảnh hưởng, các phương pháp bảo vệ kim loại khỏi ăn mòn hoá học. 
  * Ăn mòn điện hoá: Khái niệm, điều kiện nhiệt động, động học của các quá trình ăn mòn, phương pháp xác định tốc độ ăn mòn kim loại, thụ động kim loại, các yếu tố ảnh hưởng, các phương pháp bảo vệ kim loại khỏi ăn mòn điện hoá."
936,936,CH4129,Ăn mòn và bảo vệ vật liệu trong môi trường khí quyển,2(2-1-0-4),2,3,KCNHH,"CH4120, CH4128",Atmospheric Corrosion,0.7,,
937,937,CH4130,Điện phân thoát kim loại,3(3-1-0.5-6),3,5,KCNHH,CH4120,Electrowinning,0.75,,
938,938,CH4131,Công nghệ điện hóa,3(3-1-0-6),3,4,KCNHH,CH3061=,Electrochemistry - Theory and Practice,0.7,,
939,939,CH4132,Điện phân không thoát kim loại,2(2-1-0.5-4),2,4,KCNHH,CH4120,Electrosynthesis of Inorganic Compounds,0.75,,
940,940,CH4134,Tổng hợp điện hoá hữu cơ,2(2-0.5-0.5-4),2,3.5,KCNHH,CH4120,Organic Electro-synthesis,0.75,,
941,941,CH4136,Thí nghiệm chuyên ngành,3(1-0-5-6),3,9,KCNHH, ,Advanced Experiments,0.75,,
942,942,CH4138,Nguồn điện hoá học,3(3-1-0.5-6),3,5,KCNHH,"CH4120, CH4122=, CH4130=, CH4132=",Chemical Power Source,0.7,,
943,943,CH4140,Đồ án chuyên ngành,2(0-3-0-6),2,4,KCNHH, ,Senior Project,0.7,,
944,944,CH4142,Thực tập nhận thức,3(0-0-6-12),3,6,KCNHH, ,Introductory Practicum,0.5,,
945,945,CH4144,Thực tập kỹ thuật,2(0-0-4-8),2,4,KCNHH, ,Engineering Practicum,0.5,,
946,946,CH4146,Đồ án chuyên ngành,2(0-0-4-4),2,4,KCNHH,CH4150,Senior Project,0.7,"Trang bị cho sinh viên các kỹ năng phân tích, tổng hợp vận dụng các kiến thức
đã được học trong chuyên ngành Công nghệ Điện hóa & BVKL để cách nghiên cứu về
nhiều lĩnh vực khác nhau trong ngành hoặc thiết kế dây truyền sản xuất.","* Nghiên cứu: Một vấn đề hoặc một yêu cầu kỹ thuật đặt ra đối với chuyên ngành điện hóa 
  * Thiết kế: Phân xưởng, nhà máy sản xuất thuộc chuyên ngành điện hóa."
947,947,CH4148,Thực tập kỹ thuật,2(0-0-4-8),2,4,KCNHH, ,Engineering Practicum,0.7,,
948,948,CH4150,Điện hoá lý thuyết,4(3-1-1-8),4,5.5,KCNHH,CH3060,Theoretical Electrochemistry,0.7,"Trang bị cho sinh viên những kiến thức cơ bản về lý thuyết và phương pháp
nghiên cứu trong điện hoá.","* Các khái niệm và các kiến thức cơ sở trong Điện hoá lý thuyết. 
  * Cấu tạo lớp kép, tính chất của lớp ranh giới phân chia pha điện cực – dung dịch điện ly.   

  * Hiện tượng, phân loại và nguyên nhân phát sinh phân cực.   

  * Đường cong phân cực.   

  * Động học quá trình điện cực, khống chế chuyển điện tích, khống chế khuyếch tán.   

  * Phương pháp nghiên cứu động học của quá trình điện cực. Động học một số quá trình điện cực."
949,949,CH4151,Hóa học nước và ăn mòn kim loại,3(2-1-1-6),3,4.5,KCNHH, ,Water chemistry and corrosion,0.7,,
950,950,CH4152,Công nghệ mạ,3(2-1-1-6),3,4.5,KCNHH,CH4150=/CH4131=,Plating Technology,0.7,"Đào tạo cho sinh viên có các khả năng sau:

  * Tiến hành được một số công nghệ mạ cơ bản 
  * Tính toán thiết kế được phân xưởng mạ thủ công hoặc tự động cỡ nhỏ hoặc trung bình   

  * Nghiên cứu tạo các lớp mạ mong muốn hoặc nâng cao chất lượng các lớp mạ.","* Các khái niệm cơ bản và cơ sở lý thuyết mạ điện. 
  * Lý thuyết về sự hình thành và cơ chế tạo lớp mạ điện.   

  * Cấu trúc, tính chất lớp mạ.   

  * Các yếu tố ảnh hưởng đến chất lượng lớp mạ.   

  * Khả năng phân bố của dung dịch mạ.   

  * Kỹ thuật mạ trang sức – bảo vệ; mạ phục hồi; mạ chống mài mòn; mạ từ tính; mạ kim loại nhẹ; mạ hợp kim; mạ trong môi trường nóng chảy; mạ với mục đích đặc biệt."
951,951,CH4154,Ăn mòn và bảo vệ kim loại,3(2-1-1-6),3,4.5,KCNHH,CH3060,Corrosion and Protection of Metals,0.7,"Sinh viên có được các kiến thức cơ bản về ăn mòn kim loại trong các môi
trường, có khả năng áp dụng các biện pháp bảo vệ kim loại trong các môi trường
tự nhiên và công nghiệp.","Các khái niệm cơ bản về ăn mòn kim loại, các dạng ăn mòn.

  * Ăn mòn hoá học: Khái niệm, điều kiện nhiệt động, sự phát triển màng ôxyt kim loại ở nhiệt độ cao, các yếu tố ảnh hưởng, các phương pháp bảo vệ kim loại khỏi ăn mòn hoá học. 
  * Ăn mòn điện hoá: Khái niệm, điều kiện nhiệt động, động học của các quá trình ăn mòn, phương pháp xác định tốc độ ăn mòn kim loại, thụ động kim loại, các yếu tố ảnh hưởng, các phương pháp bảo vệ kim loại khỏi ăn mòn điện hoá."
952,952,CH4155,Ăn mòn và bảo vệ kim loại,3(3-1-0-6),3,4,KCNHH,CH3060=/CH3061=,Corrosion and Protection of Metals,0.6,,
953,953,CH4156,Điện phân thoát kim loại,2(2-1-0-4),2,3,KCNHH,CH4150=/CH4131=,Electrowinning,0.7,"Trang bị cho sinh viên các kiến thức về quá trình điện cực trong điện phân
tinh chế và sản xuất kim loại trong môi trường nước, môi trường nóng chảy.","* Điện phân trong môi trường nước: qúa trình điện cực catot qúa trình anot điện phân tinh chế và sản xuất đồng, sản xuất kẽm điện phân vàng bạc. Sản xuất bột kim loại bằng phương pháp điện phân 
  * Điện phân môi trường nóng chảy: điện phân nhôm."
954,954,CH4158,Nguồn điện hoá học,3(2-1-1-6),3,4.5,KCNHH,CH4150=/CH4131=,Chemical Power Source,0.7,"Trang bị cho sinh viên:

  * Các kiến thức cơ sở của quá trình điện cực xảy ra trong nguồn điện 
  * Nguyên lý tích trữ và chuyển hoá năng lượng bằng con đường điện hóa  

  * Các tính năng của nguồn điện  

  * Điều kiện kỹ thuật chủ yếu của quá trình sản xuất  

  * Mục đích để sử dụng, bảo quản, sản xuất và nghiên cứu cải tiến nguồn điện truyền thống, phát triển nguồn điện mới.","Khái niệm, phân loại, tính năng, các thông số đặc trưng của nguồn điện. Động
học quá trình điện cực, phân cực, sự khử phân cực. Lý thuyết và sản xuất các
loại pin MnO2, ăcqui chì axit, ăcqui kiềm. Nguyên lý tích trữ và chuyển hoá
năng lượng của nguồn điện hoá học mới. Pin nhiên liệu. Pin Lithium. Ăc qui Ni-
MH. Vật liệu học trong nguồn điện. Tụ và siêu tụ. Nguồn điện quang điện hoá."
955,955,CH4180,Anh văn KHKT 1,2(2-1-0-4),2,3,KCNHH,"CH4184, CH4186, CH4188, CH4190",Technical English 1,0.8,,
956,956,CH4181,AutoCAD cho thiết kế XD nhà máy silicat,2(2-1-0-4),2,3,KCNHH, ,AutoCAD for Design of Silicate Factories,0.75,,
957,957,CH4182,Thực tập nhận thức,3(0-0-6-12),3,6,KCNHH, ,Introductory Practicum,0.75,,
958,958,CH4183,Anh văn KHKT 2,3(3-1-0-6),3,4,KCNHH,CH4180,Technical English 2,0.8,,
959,959,CH4184,Hoá lý silicat 1,4(4-1-1-8),4,6.5,KCNHH, ,Physical Chemistry of Silicates 1,0.8,,
960,960,CH4185,Tin học tự động hoá trong nhà máy silicat 2,2(2-1-0.5-4),2,4,KCNHH,CH4192,Information and Automation in Silicate Industry 2,0.8,,
961,961,CH4186,Khoáng vật học silicat,2(2-0-1-4),2,3.5,KCNHH, ,Silicate Mineralogy,0.8,,
962,962,CH4187,Thiết bị nhà máy silicat 2,2(2-1-0-4),2,3,KCNHH,CH4188,Processing Equipments in Silicate Industry 2,0.8,,
963,963,CH4188,Thiết bị nhà máy silicat 1,3(3-2-0-6),3,5,KCNHH, ,Processing Equipments in Silicate Industry 1,0.8,,
964,964,CH4189,Hoá lý silicat 2,2(2-1-0.5-4),2,4,KCNHH,CH4184,Physical Chemistry of Silicates 2,0.8,,
965,965,CH4190,Lò silicat 1,3(3-2-0-6),3,5,KCNHH, ,Heating Equipments in Silicate Industry 1,0.8,,
966,966,CH4191,Lò silicat 2,2(2-1-0.5-4),2,4,KCNHH,CH4190,Heating Equipments in silicate industry 2,0.8,,
967,967,CH4192,Tin học tự động hoá trong nhà máy silicat 1,2(2-1-0-4),2,3,KCNHH,"(CH4188, CH4190)/(CH4212=, CH4214=)",Information and Automation in Silicate Industry 1,0.8,,
968,968,CH4193,Thí nghiệm cơ sở chuyên ngành,2(0-0-4-4),2,6,KCNHH, ,Professional basic experiments,0.6,,
969,969,CH4194,Thực tập kỹ thuật,2(0-0-4-8),2,4,KCNHH, ,Engineering Practicum,0.75,,
970,970,CH4195,Khoáng vật học Silicat,2(2-1-0-4),2,3,KCNHH, ,Silicate Mineralogy,0.7,,
971,971,CH4196,Công nghệ vật liệu kết dính,2(2-1-0-4),2,3,KCNHH,CH4209,Cement Technology,0.7,,
972,972,CH4198,Công nghệ gốm sứ,2(2-1-0-4),2,3,KCNHH,CH4209,Ceramic Technology,0.8,,
973,973,CH4199,Tinh thể và khoáng vật học silicat,3(3-1-1-6),3,5.5,KCNHH,CH3120,Crystalline and mineralized,0.8,,
974,974,CH4200,Công nghệ thuỷ tinh,2(2-1-0-4),2,3,KCNHH,CH4209,Glass Technology,0.8,,
975,975,CH4201,Chuyên đề kỹ thuật 1,2(2-1-0-4),2,3,KCNHH, ,Special Topics 1,0.8,,
976,976,CH4202,Công nghệ vật liệu chịu lửa,2(2-1-0-4),2,3,KCNHH,"CH4184, CH4186, CH4188, CH4190",Refractory Technology,0.8,,
977,977,CH4203,Chuyên đề kỹ thuật 2,2(2-1-0-4),2,3,KCNHH, ,Special Topics 2,0.8,,
978,978,CH4204,Thí nghiệm chuyên ngành,4(2-0-8-12),4,12,KCNHH,"CH4200,CH4202,CH4206",Advanced Experiments,0.8,,
979,979,CH4205,Công nghệ gốm thuỷ tinh,2(2-1-0-4),2,3,KCNHH,"CH4184, CH4186, CH4188, CH4190",Glass and Ceramic Technology,0.8,,
980,980,CH4206,Đồ án môn học chuyên ngành,2(1-2-0-4),2,4,KCNHH, ,Senior Project,0.75,,
981,981,CH4207,TN CN vật liệu Ceramic,2(0-0-4-4),2,6,KCNHH,"MSE3015,MSE3019",Ceramic Materials Lab,0.7,"Sinh viên tiếp tục được làm quen và thực hiện các thí nghiệm gắn liền với các
định hướng chuyên ngành.",
982,982,CH4208,Đồ án chuyên ngành,2(0-0-4-4),2,4,KCNHH,"CH4214,CH4212",Senior Project,0.7,"Trang bị cho sinh viên các bước cần thiết để thiết kế công nghệ một thiết bị
nhiệt cụ thể của ngành công nghệ vật liệu Silicat.",Tính toán thiết kế một thiết bị nhiệt ngành Silicat.
983,983,CH4209,Hóa lý silicat I,2(2-1-0-4),2,3,KCNHH,CH3061,Physical Chemistry of the Silicates I,0.7,,
984,984,CH4210,Hoá lý silicat,4(4-1-0-8),4,5,KCNHH, ,Physical Chemistry of Silicates,0.7,"Hệ thống hoá kiến thức về cấu trúc và tính chất của các hệ vật chất vô cơ-
silicat tồn tại ở các trạng thái tập hợp khác nhau (tinh thể, thuỷ tinh, lỏng
nóng chảy và phân tán keo); về cân bằng pha và quá trình chuyển pha dưới tác
động của nhiệt độ và áp suất ; về các quá trình hoá lý chủ yếu là cơ sở của
các quá trình công nghệ trong công nghiệp sản xuất vật liệu vô cơ-silicat.","Các trạng thái tập hợp của silicát (tinh thể, thuỷ tinh, pha nóng chảy, phân
tán keo); cân bằng pha và biểu đồ pha, các quá trình hoá lý chủ  
yếu ứng dụng trong công nghiệp silicát."
985,985,CH4211,Hóa lý Silicat,3(3-1-0-6),3,4,KCNHH, ,Physical Chemistry of Silicates,0.7,"Hệ thống hoá kiến thức về cấu trúc và tính chất của các hệ vật chất vô cơ-
silicat tồn tại ở các trạng thái tập hợp khác nhau (tinh thể, thuỷ tinh, lỏng
nóng chảy và phân tán keo); về cân bằng pha và quá trình chuyển pha dưới tác
động của nhiệt độ và áp suất ; về các quá trình hoá lý chủ yếu là cơ sở của
các quá trình công nghệ trong công nghiệp sản xuất vật liệu silicat.","Cơ sở chung về trạng thái tập hợp của silicat, cấu trúc, cân bằng pha, chuyển
pha và các quá trình chuyển đổi hóa lý của các hệ silicat kỹ thuật."
986,986,CH4212,Thiết bị công nghiệp Silicat,4(4-1-0-8),4,5,KCNHH,CH3400,Silicate Industrial Equipments,0.7,"* Nắm vững lý thuyết các quá trình gia công cơ học nguyên liệu,bán thành phẩm phi kim loại ở trạng thái rắn, lỏng, khí silicát: Đập, nghiền, sàng, phân ly, phân loại, xử lý bụi, lọc bụi khói lò, vận chuyển, tiếp liệu, bao gói, khuấy trộn, tạo hình. 
  * Nghiên cứu nguyên lý cấu tạo, đặc trưng kỹ thuật và phạm vi sử dụng của tất cả các thiết bị trong các nhà máy silicát: xi măng, gốm sứ, vật liệu chịu lửa và thuỷ tinh.  

  * Lựa chọn, tính toán các thông số, thiết kế được các hệ thống thiết bị trong nhà máy silicát theo các mục tiêu công nghệ cụ thể.","Trình bày các khái niệm và lý thuyết cơ bản về đập, nghiền nguyên vật liệu
silicát. Mô tả nguyên lý, cấu tạo, đặc trưng kỹ thuật và phạm vi sử dụng trong
công nghệ của các máy đập, nghiền, phân ly phân loại, tiếp liệu, vận chuyển,
xử lý bụi, khử bụi, chuẩn bị phối liệu và các loại máy chuyên dụng trong các
ngành của công nghiệp silicát."
987,987,CH4213,Thiết bị Silicat 1,3(3-1-0-6),3,4,KCNHH, ,Silicate Processing Equipments 1,0.7,"Nắm vững lý thuyết các quá trình gia công cơ học trong công nghiệp vật liệu
silicát. Nguyên lý cấu tạo, đặc trưng kỹ thuật và phạm vi sử dụng của tất cả
các thiết bị trong các nhà máy silicát: xi măng, gốm sứ, vật liệu chịu lửa và
thuỷ tinh.","Cơ sở lý thuyết, nguyên lý cấu tạo và hoạt động của các thiết bị công nghiệp
trong các nhà máy sản xuất vật liệu silicat: xi măng, gốm sứ, thủy tinh, vật
liệu chịu lửa."
